Name,Host Compromise ratio (compromised hosts / total hosts),MTD Interval,Network Size,MTD Execution Frequency,Attack Success Rate,Mean Time to Compromise (s)
CompleteTopologyShuffle,0.4,100,50,0.005008250002389454,0.15680118911758975,9050.203077529319
CompleteTopologyShuffle,0.5,100,50,0.005008250002389454,0.17272957756516746,9660.967944717779
CompleteTopologyShuffle,0.6,100,50,0.005008250002389454,0.18525429032357976,10411.588560894288
CompleteTopologyShuffle,0.7,100,50,0.005008250002389454,0.20062065439768723,10850.872934359724
CompleteTopologyShuffle,0.8,100,50,0.005008250002389454,0.21446437944610178,11330.549397091754
CompleteTopologyShuffle,0.1,100,75,0.0049930932244396185,0.3850194966048965,1628.9767755390776
CompleteTopologyShuffle,0.2,100,75,0.0049930932244396185,0.10048570915550613,13243.550963809606
CompleteTopologyShuffle,0.3,100,75,0.0049930932244396185,0.11443531606169667,14530.380999834922
CompleteTopologyShuffle,0.4,100,75,0.0049930932244396185,0.10933243301407397,18187.011020567137
CompleteTopologyShuffle,0.5,100,75,0.0049930932244396185,0.11826216229057335,20043.445761366514
CompleteTopologyShuffle,0.6,100,75,0.0049930932244396185,0.13361056489977388,20675.240943521523
CompleteTopologyShuffle,0.7,100,75,0.0049930932244396185,0.1488467825021664,21212.31390797891
CompleteTopologyShuffle,0.8,100,75,0.0049930932244396185,0.16251439884473914,21773.824403621195
CompleteTopologyShuffle,0.1,100,100,0.004990033455577094,0.3571406997917008,2922.019743268002
CompleteTopologyShuffle,0.2,100,100,0.004990033455577094,0.37257743087567424,4325.945861941926
CompleteTopologyShuffle,0.3,100,100,0.004990033455577094,0.3855815441006926,5484.369384066647
CompleteTopologyShuffle,0.4,100,100,0.004990033455577094,0.3980473770658729,6529.616084906576
CompleteTopologyShuffle,0.5,100,100,0.004990033455577094,0.39864948002440487,7880.600295965145
CompleteTopologyShuffle,0.6,100,100,0.004990033455577094,0.3103246466638085,12222.654801998104
CompleteTopologyShuffle,0.7,100,100,0.004990033455577094,0.24028545000638624,17055.78894163836
CompleteTopologyShuffle,0.8,100,100,0.004990033455577094,0.1863142391945966,22813.623238004857
CompleteTopologyShuffle,0.1,200,25,0.005058099911215118,0.3303996350871353,744.8285219205785
CompleteTopologyShuffle,0.2,200,25,0.005058099911215118,0.3394188265724642,1378.1832260012095
CompleteTopologyShuffle,0.3,200,25,0.005058099911215118,0.3779189831365596,1850.5138563096518
CompleteTopologyShuffle,0.4,200,25,0.005058099911215118,0.3658673491984549,2588.5901246244316
CompleteTopologyShuffle,0.5,200,25,0.005058099911215118,0.3951564089092686,2980.7817751666535
CompleteTopologyShuffle,0.6,200,25,0.005058099911215118,0.4004929284618581,3503.2702512721503
CompleteTopologyShuffle,0.7,200,25,0.005058099911215118,0.40731946386167317,4127.358799428988
CompleteTopologyShuffle,0.8,200,25,0.005058099911215118,0.4093663822834543,4612.593345387644
CompleteTopologyShuffle,0.1,200,50,0.005017198697702735,0.23514165682590923,1558.604354701345
CompleteTopologyShuffle,0.2,200,50,0.005017198697702735,0.30291117371696563,2128.099944893553
CompleteTopologyShuffle,0.3,200,50,0.005017198697702735,0.22875529644726547,4992.307621432075
CompleteTopologyShuffle,0.4,200,50,0.005017198697702735,0.13693854263614727,10562.260510503624
CompleteTopologyShuffle,0.5,200,50,0.005017198697702735,0.1504325645251806,11302.016434609795
CompleteTopologyShuffle,0.6,200,50,0.005017198697702735,0.16242182532221908,12130.508206730623
CompleteTopologyShuffle,0.7,200,50,0.005017198697702735,0.17727318287062072,12568.013816612147
CompleteTopologyShuffle,0.8,200,50,0.005017198697702735,0.19007740423263017,13067.458544348692
CompleteTopologyShuffle,0.1,200,75,0.005007000371126941,0.367953250084072,1692.094419944671
CompleteTopologyShuffle,0.2,200,75,0.005007000371126941,0.1026998219227061,11401.555835868558
CompleteTopologyShuffle,0.3,200,75,0.005007000371126941,0.1189264710996333,12678.60672387051
CompleteTopologyShuffle,0.4,200,75,0.005007000371126941,0.11954501365801412,15680.036254592573
CompleteTopologyShuffle,0.5,200,75,0.005007000371126941,0.13132300793987237,17543.717047227612
