Name,Host Compromise ratio (compromised hosts / total hosts),MTD Interval,Network Size,MTD Execution Frequency,Attack Success Rate,Mean Time to Compromise (s)
random,0.3,200,25,0.005086936924777157,0.37992030183875647,1920.2172909957656
random,0.4,200,25,0.005086936924777157,0.3782333855625929,2562.928772186872
random,0.5,200,25,0.005086936924777157,0.40783458047178234,2923.1785259137264
random,0.6,200,25,0.005086936924777157,0.4120201152126509,3407.114566010124
random,0.7,200,25,0.005086936924777157,0.424127916425839,3917.685969024977
random,0.8,200,25,0.005086936924777157,0.42498817986721965,4443.874052034834
random,0.1,200,50,0.005060507019567391,0.29205827733996054,1371.1862296420804
random,0.2,200,50,0.005060507019567391,0.3714528717479436,1974.1820931955385
random,0.3,200,50,0.005060507019567391,0.35260278895651204,3013.9289341905305
random,0.4,200,50,0.005060507019567391,0.3276373438957134,3982.152778350675
random,0.5,200,50,0.005060507019567391,0.3231607107667409,4737.235289388327
random,0.6,200,50,0.005060507019567391,0.32939725914281076,5380.523582555883
random,0.7,200,50,0.005060507019567391,0.33598928892199353,5980.69779715029
random,0.8,200,50,0.005060507019567391,0.3386419042834512,6723.269797821866
random,0.1,200,75,0.0050328835095177216,0.3745395517222243,1766.3421919264529
random,0.2,200,75,0.0050328835095177216,0.33382044603365635,3107.7460923904755
random,0.3,200,75,0.0050328835095177216,0.3131560531986885,4398.598723709892
random,0.4,200,75,0.0050328835095177216,0.2894257028344707,6006.412869514609
random,0.5,200,75,0.0050328835095177216,0.2847781671644592,7377.707262525276
random,0.6,200,75,0.0050328835095177216,0.2772697279257362,8855.736278490622
random,0.7,200,75,0.0050328835095177216,0.28586383818120853,9806.905029484595
random,0.8,200,75,0.0050328835095177216,0.2925260345698032,10706.030330858799
random,0.1,200,100,0.0050300772748799825,0.3652500740314418,2856.895000039876
random,0.2,200,100,0.0050300772748799825,0.42560562890080433,4058.045149731577
random,0.3,200,100,0.0050300772748799825,0.4656519087335188,4936.27972790654
random,0.4,200,100,0.0050300772748799825,0.4907549604910638,5752.032760505723
random,0.5,200,100,0.0050300772748799825,0.5062511886960308,6577.131486783868
random,0.6,200,100,0.0050300772748799825,0.49443854842409707,7677.637836801156
random,0.7,200,100,0.0050300772748799825,0.4500027294731917,9141.180503868163
random,0.8,200,100,0.0050300772748799825,0.38791115078993044,11367.624804037372
alternative,0.1,100,25,0.007966439340762877,0.23869678932178928,837.6374160677558
alternative,0.2,100,25,0.007966439340762877,0.23044681622001723,1633.4065786790868
alternative,0.3,100,25,0.007966439340762877,0.2626653818886908,2101.846665804701
alternative,0.4,100,25,0.007966439340762877,0.24350911572269635,3066.2165827838285
